id_base out_group_openness bundesland frau alter migrant schulabschl wohnort religiousness reli_group relig_comm hierarchie hh_income_i hh_size hat_kinder employment Care Fairness Authority Loyalty Purity Liberty authorit zeitungen internet fernsehen radiosender social_media f_online_rel_behavior f_online_intensity control soc_trust Greece Italie Poland Romania former_SU former_Yugo Spain_Portugal Syria Turkey Vietnam other NA NET_Europe deutsch s_east_europa other_mig
42 -.54036969 5 1 2 0 2 2 1 7 1 6 37.5 2 0 1 5 4 3.5 3 4 3.5 6 2 6 6 6 6 2.0042796 4.4506426 3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
43 -.52704597 5 0 3 0 3 2 1 7 1 4 22.5 2 0 1 4 5 3.5 3 2.5 5 2 3 6 6 5 1 1.0983864 4.9300447 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
44 .31515691 5 0 6 1 4 4 1 7 1 2 12.5 2 0 5 5.5 6 4 4.5 4 5.5 2 4 6 6 6 1 1.1889002 4.5245099 3 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0
45 1.5007715 5 1 5 0 2 4 4 1 3 8 31.117121 1 0 1 6 6 5 1.5 6 3.5 3 2 6 6 6 1 1.2845968 5.6822548 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
46 .43820551 2 1 5 0 2 4 5 2 2 5 37.5 2 0 2 4.5 5 4.5 5 5.5 2.5 5 4 5 6 6 2 1.5588281 2.4349802 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
47 -1.0889974 3 0 6 0 1 1 4 2 2 8 27.5 2 0 5 5 5 5 4.5 5 3.5 5 4 5 5 6 5 2.8993907 4.1194239 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
48 1.082361 5 1 3 1 3 4 5 2 2 5 32.5 3 1 1 5 6 4.5 4 4 4.5 3 6 5 5 5 6 2.641814 5.1761622 3 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
49 .71739715 6 0 4 0 4 1 4 1 3 4 7.5 1 0 2 4.5 6 4.5 4.5 4 4 3 5 6 6 2 6 2.9024367 4.2731862 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
50 .3373543 5 1 3 0 2 2 1 7 1 6 22.5 1 0 1 4 5 5 3 5 4 3 5 6 6 5 3 1.3860292 4.9630914 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
51 -.67937398 9 0 2 1 1 2 1 7 1 4 17.5 1 0 1 4 5 4.5 5 5 5 5 3 6 1 2 1 1.139707 4.9609728 3 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
